trade_id,season,trade_date,gave,received,pick_season,pick_round,pick_number,conditional,pfr_id,pfr_name
1495,2020,4/25/20,WAS,SF,NA,NA,NA,NA,WillTr21,Trent Williams
1496,2020,4/25/20,DET,LV,2020,4,109,0,SimpJo00,John Simpson
1496,2020,4/25/20,LV,DET,2020,4,121,0,StenLo00,Logan Stenberg
1496,2020,4/25/20,LV,DET,2020,5,172,0,HuntJa01,Jason Huntley
1497,2020,4/25/20,HOU,MIA,2020,4,111,0,KindSo00,Solomon Kindley
1497,2020,4/25/20,MIA,HOU,2020,4,136,0,HopkBr01,Brycen Hopkins
1497,2020,4/25/20,MIA,HOU,2020,4,141,0,ReidJo00,John Reid
1498,2020,4/25/20,HOU,LA,2020,4,136,0,HopkBr01,Brycen Hopkins
1498,2020,4/25/20,HOU,LA,2020,7,248,0,SlomSa00,Sam Sloman
1498,2020,4/25/20,HOU,LA,2020,7,250,0,AnchTr00,Tremayne Anchrum
1498,2020,4/25/20,LA,HOU,2020,4,126,0,HeckCh00,Charlie Heck
1499,2020,4/25/20,DAL,PHI,2020,5,164,0,WeavCu00,Curtis Weaver
1499,2020,4/25/20,DAL,PHI,2021,5,156,1,LoudIs00,Isaiahh Loudermilk
1499,2020,4/25/20,PHI,DAL,2020,4,146,0,BiadTy00,Tyler Biadasz
1500,2020,4/25/20,MIA,SF,2020,5,153,0,McKiCo00,Colton McKivitz
1500,2020,4/25/20,SF,MIA,NA,NA,NA,NA,BreiMa00,Matt Breida
1501,2020,4/25/20,CHI,MIN,2021,4,125,1,BynuCa00,Camryn Bynum
1501,2020,4/25/20,MIN,CHI,2020,5,155,0,GipsTr00,Trevis Gipson
1502,2020,4/25/20,MIA,PHI,2020,5,173,0,MoonDa00,Darnell Mooney
1502,2020,4/25/20,MIA,PHI,2020,7,227,0,SimmLa00,Lachavious Simmons
1502,2020,4/25/20,PHI,MIA,2020,5,164,0,WeavCu00,Curtis Weaver
1503,2020,4/25/20,PHI,SF,2020,6,190,0,WoerCh00,Charlie Woerner
1503,2020,4/25/20,SF,PHI,NA,NA,NA,NA,GoodMa00,Marquise Goodwin
1503,2020,4/25/20,SF,PHI,2021,7,240,1,BradWi00,William Bradley-King
1503,2020,4/25/20,SF,PHI,NA,NA,NA,NA,NA,Prince Tega Wanogho
1504,2020,4/25/20,CHI,PHI,2020,6,196,0,BradSh00,Shaun Bradley
1504,2020,4/25/20,CHI,PHI,2020,6,200,0,WatkQu00,Quez Watkins
1504,2020,4/25/20,CHI,PHI,2020,7,233,0,ToohCa00,Casey Toohill
1504,2020,4/25/20,PHI,CHI,2020,5,173,0,MoonDa00,Darnell Mooney
1504,2020,4/25/20,PHI,CHI,2020,7,227,0,SimmLa00,Lachavious Simmons
1505,2020,4/25/20,IND,NE,2020,6,182,0,OnweMi00,Michael Onwenu
1505,2020,4/25/20,NE,IND,2020,6,212,0,PatmDe00,Dezmon Patmon
1505,2020,4/25/20,NE,IND,2020,6,213,0,GlasJo00,Jordan Glasgow
1506,2020,4/25/20,BAL,MIN,2020,7,225,0,WillKe06,Kenny Willekes
1506,2020,4/25/20,BAL,MIN,2021,5,168,1,DaviZa00,Zach Davidson
1506,2020,4/25/20,MIN,BAL,2020,6,201,0,ProcJa00,James Proche
1506,2020,4/25/20,MIN,BAL,2020,7,219,0,StonGe00,Geno Stone
1507,2020,4/25/20,IND,NYJ,NA,NA,NA,NA,WilsQu01,Quincy Wilson
1507,2020,4/25/20,NYJ,IND,2020,6,211,0,RodgIs00,Isaiah Rodgers
1508,2020,4/25/20,KC,TEN,2021,6,215,1,BreeBr00,Brady Breeze
1508,2020,4/25/20,TEN,KC,2020,7,237,0,KeyeTh00,Thakarius Keyes
1509,2020,4/25/20,HOU,NO,2020,7,240,0,StevTo01,Tommy Stevens
1509,2020,4/25/20,NO,HOU,2021,6,212,1,HamlDa00,Damar Hamlin
1510,2020,4/25/20,MIA,SEA,2020,7,251,0,SullSt00,Stephen Sullivan
1510,2020,4/25/20,SEA,MIA,2021,6,208,1,ForsSt00,Stone Forsythe
1512,2020,5/1/20,ATL,MIA,2021,7,232,1,HoskPh00,Phil Hoskins
1512,2020,5/1/20,MIA,ATL,NA,NA,NA,NA,HarrCh03,Charles Harris
1513,2020,7/25/20,NYJ,SEA,NA,NA,NA,NA,AdamJa00,Jamal Adams
1648,2022,4/28/22,MIN,DET,2022,1,12,0,WillJa11,Jameson Williams
1513,2020,7/25/20,SEA,NYJ,NA,NA,NA,NA,McDoBr01,Bradley McDougald
1513,2020,7/25/20,SEA,NYJ,2021,1,23,1,DarrCh00,Christian Darrisaw
1513,2020,7/25/20,SEA,NYJ,2021,3,86,1,DaviWy00,Wyatt Davis
1639,2022,3/18/22,CLE,HOU,2022,1,13,0,DaviJo03,Jordan Davis
1514,2020,7/25/20,CHI,MIA,NA,NA,NA,NA,ShahAd00,Adam Shaheen
1514,2020,7/25/20,MIA,CHI,2021,6,208,1,ForsSt00,Stone Forsythe
1515,2020,8/9/20,DET,NE,NA,NA,NA,NA,JackMi01,Michael Jackson
1649,2022,4/28/22,HOU,PHI,2022,1,13,0,DaviJo03,Jordan Davis
1516,2020,8/29/20,LV,MIA,2021,4,121,1,SmitJo03,Jordan Smith
1516,2020,8/29/20,MIA,LV,NA,NA,NA,NA,McMiRa02,Raekwon McMillan
1516,2020,8/29/20,MIA,LV,2021,5,162,1,GrayNo00,Noah Gray
1517,2020,8/30/20,JAX,MIN,NA,NA,NA,NA,NgakYa00,Yannick Ngakoue
1517,2020,8/30/20,MIN,JAX,2021,2,45,1,LittWa00,Walker Little
1553,2021,3/26/21,MIA,PHI,2022,1,15,0,NA,NA
1649,2022,4/28/22,PHI,HOU,2022,1,15,0,GreeKe03,Kenyon Green
1519,2020,8/31/20,CAR,BUF,NA,NA,NA,NA,SmitAn04,Andre Smith
1518,2020,9/1/20,LV,WAS,NA,NA,NA,NA,SharDa02,David Sharpe
1518,2020,9/1/20,LV,WAS,2021,7,244,1,DoakGe00,Gerrid Doaks
1518,2020,9/1/20,WAS,LV,2021,6,203,1,StevMa00,Marquez Stevenson
1520,2020,9/2/20,DEN,NYG,NA,NA,NA,NA,YiadIs00,Isaac Yiadom
1520,2020,9/2/20,NYG,DEN,2021,7,239,1,CoopJo02,Jonathon Cooper
1521,2020,9/3/20,CLE,JAX,2021,5,170,1,WallGa00,Garret Wallow
1521,2020,9/3/20,JAX,CLE,NA,NA,NA,NA,HarrRo02,Ronnie Harrison
1522,2020,9/4/20,CIN,DEN,NA,NA,NA,NA,CaliAu00,Austin Calitro
1522,2020,9/4/20,DEN,CIN,NA,NA,NA,NA,CoviCh00,Christian Covington
1523,2020,9/5/20,LV,MIA,NA,NA,NA,NA,BowdLy00,Lynn Bowden
1523,2020,9/5/20,LV,MIA,2021,6,203,1,StevMa00,Marquez Stevenson
1523,2020,9/5/20,MIA,LV,2021,4,121,1,SmitJo03,Jordan Smith
1524,2020,10/14/20,JAX,TEN,2021,6,185,1,NiemNi00,Nick Niemann
1524,2020,10/14/20,TEN,JAX,NA,NA,NA,NA,CorrKa00,Kamalei Correa
1524,2020,10/14/20,TEN,JAX,2021,7,249,1,SkowBe00,Ben Skowronek
1525,2020,10/19/20,NYJ,TB,NA,NA,NA,NA,McLeSt00,Steve McLendon
1538,2021,3/17/21,IND,PHI,2022,1,16,1,NA,NA
1647,2022,4/28/22,NO,WAS,2022,1,16,0,DotsJa00,Jahan Dotson
1526,2020,10/21/20,NYJ,SF,NA,NA,NA,NA,WillJo09,Jordan Willis
1526,2020,10/21/20,NYJ,SF,2021,7,230,1,MorrJi00,Jimmy Morrissey
1645,2022,4/4/22,NO,PHI,2022,1,18,0,BurkTr00,Treylon Burks
1527,2020,10/22/20,BAL,MIN,2021,3,90,1,JonePa00,Patrick Jones II
1651,2022,4/28/22,PHI,TEN,2022,1,18,0,BurkTr00,Treylon Burks
1527,2020,10/22/20,MIN,BAL,NA,NA,NA,NA,NgakYa00,Yannick Ngakoue
1528,2020,10/23/20,ARI,NYG,2021,6,201,1,WillRo07,Rodarius Williams
1528,2020,10/23/20,NYG,ARI,NA,NA,NA,NA,GoldMa00,Markus Golden
1529,2020,10/27/20,DAL,DET,NA,NA,NA,NA,GrifEv99,Everson Griffen
1529,2020,10/27/20,DET,DAL,2021,6,192,1,BohaQu00,Quinton Bohanna
1530,2020,10/28/20,CIN,SEA,NA,NA,NA,NA,DunlCa99,Carlos Dunlap
1530,2020,10/28/20,SEA,CIN,NA,NA,NA,NA,FinnB.01,B.J. Finney
1530,2020,10/28/20,SEA,CIN,2021,7,235,1,HubeWy00,Wyatt Hubert
1645,2022,4/4/22,PHI,NO,2022,1,16,0,DotsJa00,Jahan Dotson
1531,2020,11/1/20,HOU,DAL,NA,NA,NA,NA,AnkoEl00,Eli Ankou
1532,2020,11/2/20,NYJ,PIT,NA,NA,NA,NA,WillAv00,Avery Williamson
1645,2022,4/4/22,PHI,NO,2022,1,19,0,PennTr00,Trevor Penning
1652,2022,4/28/22,NE,KC,2022,1,21,0,McDuTr00,Trent McDuffie
1533,2020,11/2/20,LAC,TEN,NA,NA,NA,NA,KingDe01,Desmond King
1533,2020,11/2/20,TEN,LAC,2021,6,185,1,NiemNi00,Nick Niemann
1534,2020,11/2/20,NO,SF,NA,NA,NA,NA,AlonKi00,Kiko Alonso
1534,2020,11/2/20,NO,SF,2021,5,172,1,LenoDe00,Deommodore Lenoir
1534,2020,11/2/20,SF,NO,NA,NA,NA,NA,AlexKw00,Kwon Alexer
1535,2020,11/3/20,KC,MIA,NA,NA,NA,NA,WashDe00,DeAndre Washington
1535,2020,11/3/20,KC,MIA,2021,7,258,1,MilnDa00,Dax Milne
1535,2020,11/3/20,MIA,KC,2021,6,207,1,MarsJo00,Jonathan Marshall
1536,2020,11/3/20,MIA,NE,NA,NA,NA,NA,FordIs00,Isaiah Ford
1638,2022,3/17/22,LV,GB,2022,1,22,0,WalkQu00,Quay Walker
1538,2021,3/17/21,IND,PHI,2021,3,84,0,GolsCh00,Chauncey Golston
1650,2022,4/28/22,ARI,BAL,2022,1,23,0,ElamKa00,Kaiir Elam
1538,2021,3/17/21,PHI,IND,NA,NA,NA,NA,WentCa00,Carson Wentz
1539,2021,3/17/21,MIA,TEN,2021,7,232,0,HoskPh00,Phil Hoskins
1539,2021,3/17/21,TEN,MIA,NA,NA,NA,NA,WilsIs00,Isaiah Wilson
1653,2022,4/28/22,BAL,BUF,2022,1,23,0,ElamKa00,Kaiir Elam
1540,2021,3/17/21,LV,NE,NA,NA,NA,NA,BrowTr02,Trent Brown
1653,2022,4/28/22,BUF,BAL,2022,1,25,0,LindTy00,Tyler Linderbaum
1654,2022,4/28/22,TEN,NYJ,2022,1,26,0,JohnJe07,Jermaine Johnson
1541,2021,3/17/21,HOU,MIA,NA,NA,NA,NA,McKiBe00,Benardrick McKinney
1541,2021,3/17/21,HOU,MIA,2021,7,231,0,ColeLa03,Larnel Coleman
1541,2021,3/17/21,MIA,HOU,2021,6,203,0,StevMa00,Marquez Stevenson
1542,2021,3/17/21,HOU,NE,2021,4,122,0,ShelTy00,Tyler Shelvin
1542,2021,3/17/21,HOU,NE,2021,6,188,0,BledJo00,Joshuah Bledsoe
1542,2021,3/17/21,NE,HOU,NA,NA,NA,NA,CannMa00,Marcus Cannon
1542,2021,3/17/21,NE,HOU,2021,5,158,0,NixoDa00,Daviyon Nixon
1542,2021,3/17/21,NE,HOU,2021,6,195,0,LopeRo00,Roy Lopez
1655,2022,4/28/22,TB,JAX,2022,1,27,0,LloyDe00,Devin Lloyd
1543,2021,3/17/21,LA,DET,NA,NA,NA,NA,BrocMi00,Michael Brockers
